id,locale,source_text,translated_text,created_at
13a97891-debb-4c8f-bf3f-feb766ca6be5,ar,"Turkey will host four Kuwaiti clubs, while London, Azerbaijan and Egypt are also listed as pre-season destinations.",ستستضيف تركيا أربعة أندية كويتية، فيما تندرج لندن وأذربيجان ومصر أيضًا ضمن وجهات الاستعداد للموسم الجديد.,2026-08-02 23:58:28.944258+00
d7121c46-a89e-4c21-b634-5eeb621a0aa4,ar,Kuwait Ministry of Interior Football Team Announces Training for 2026–27 Season,فريق كرة القدم بوزارة الداخلية الكويتية يعلن بدء تدريباته لموسم 2026–27,2026-08-02 23:58:28.944258+00
07528753-35f9-4b47-a1d5-9bf374bfb687,ar,Abdulwahab Awadi,عبد الوهاب عوضي,2026-08-15 02:14:57.088651+00
341e0829-0140-4a0b-96e1-18976597a0c4,ar,"The Kuwait Ministry of Interior football team will begin preparations for the 2026–27 season at Al-Jamarik Stadium on Sunday, August 2, 2026.",سيبدأ فريق كرة القدم بوزارة الداخلية الكويتية استعداداته لموسم 2026–27 على استاد الجمارك يوم الأحد 2 أغسطس 2026.,2026-08-02 23:58:28.944258+00
05384b79-4bb7-4050-8b93-e41b633a0c70,ar,Al Salmiya Announce Squad for Turkey Training Camp,السالمية يعلن قائمته لمعسكر تركيا التدريبي,2026-08-02 23:58:28.944258+00
4f64210c-19b3-42d3-9628-eb314c1e8685,ar,"Al Salmiya have named a 33-player squad for their training camp in Izmit, Turkey, scheduled from July 31 to August 17.",اختار السالمية قائمة تضم 33 لاعبًا لمعسكره التدريبي في إزميت بتركيا، المقرر إقامته من 31 يوليو إلى 17 أغسطس.,2026-08-02 23:58:28.944258+00
b32831c4-6919-407b-97c6-cd45c4cd37e9,ar,Al Salmiya Announce Friendlies for İzmit Training Camp in Turkey,السالمية يعلن مبارياته الودية في معسكر إزميت التدريبي بتركيا,2026-08-02 23:58:28.944258+00
fc87683d-ecf9-41df-bfd5-ee19f57e971e,ar,"Al Salmiya will face ZED FC, Al Markhiya and ASO Chlef during their 2026 training camp in İzmit, with a possible fourth friendly yet to be confirmed.",سيواجه السالمية أندية زد إف سي والمرخية وأولمبي الشلف خلال معسكره التدريبي لعام 2026 في إزميت، مع احتمال خوض مباراة ودية رابعة لم يتم تأكيدها بعد.,2026-08-02 23:58:28.944258+00
a56d3be7-981d-499e-b128-0b6fe6624d41,ar,Al Qadsia to Face Saudi Side Al Zulfi in Türkiye Friendly,القادسية يواجه الزلفي السعودي وديًا في تركيا,2026-08-02 23:58:28.944258+00
2b096720-8a73-4ee9-8578-9b3dcf2bb662,ar,Kuwaiti club Al Qadsia will face Saudi Arabian second-tier side Al Zulfi in a friendly match in Türkiye as part of their preparations for the upcoming AFC Challenge League campaign.,سيواجه نادي القادسية الكويتي فريق الزلفي السعودي، المنافس في دوري الدرجة الثانية، في مباراة ودية بتركيا ضمن استعداداته للمشاركة المقبلة في دوري التحدي الآسيوي.,2026-08-02 23:58:28.944258+00
a7332062-d770-4e64-8d7b-f00ea8242885,ar,"The Kuwait Football Association will conduct the draws for its youth competitions for the 2026–27 season on Sunday, August 2, 2026.

The event will begin at 7:00 p.m. in the meeting hall at the Kuwait Football Association’s headquarters in Adailiya.

 Competitions included

The draw will cover three age-group leagues:

- Under-19 league
- Under-17 league
- Under-15 league

Sports clubs have been asked to send representatives to attend the draw at the scheduled time and venue.","سيُجري الاتحاد الكويتي لكرة القدم قرعة مسابقاته للفئات السنية لموسم 2026–27 يوم الأحد 2 أغسطس 2026.

ستنطلق الفعالية في الساعة 7:00 مساءً بقاعة الاجتماعات في مقر الاتحاد الكويتي لكرة القدم بالعديلية.

 المسابقات المشمولة

ستشمل القرعة ثلاث دوريات للفئات العمرية:

- دوري تحت 19 عامًا
- دوري تحت 17 عامًا
- دوري تحت 15 عامًا

وطُلب من الأندية الرياضية إرسال ممثلين عنها لحضور القرعة في الموعد والمكان المحددين.",2026-08-03 00:14:10.20818+00
9be34d59-fb69-4725-b10b-0f4826a92153,ar,Lucas Shallon,لوكاس شالون,2026-08-03 00:14:13.498072+00
d387101f-8f9c-42f8-9886-df50d5c5c519,ar,Forward,مهاجم,2026-08-03 00:14:13.498072+00
f4e59782-3803-4f10-a0f4-c03f4cbe5658,ar,Sabah Al Salem Stadium,استاد صباح السالم,2026-08-03 00:14:18.407057+00
5b012dfd-102d-4958-97a7-ad94b20819fe,ar,Mansouriya,المنصورية,2026-08-03 00:14:38.963247+00
715fdb47-1990-412d-aebc-0b02efa04db6,ar,Goran Sablic,غوران سابليتش,2026-08-03 00:14:38.963247+00
b7b9c677-f6cd-4847-9e8b-cd9c04c5ff83,ar,Sulaiman Abdulghafoor,سليمان عبد الغفور,2026-08-03 00:14:40.373313+00
ed987797-93f5-4cbe-8b99-2b756d510b53,ar,Goalkeeper,حارس مرمى,2026-08-03 00:14:40.373313+00
74ec48b7-1ba9-42b9-8dca-2332ca2571ee,ar,Abdullah Fares joins Al Jazira on loan from Al Arabi,عبدالله فارس ينضم إلى الجزيرة على سبيل الإعارة من العربي,2026-08-03 18:33:24.957743+00
bff0d86d-1a91-4869-a116-76520c6dd6d5,ar,"According to sources, Al Arabi player Abdullah Fares has joined Al Jazira on loan.",وفقًا لمصادر، انضم لاعب العربي عبد الله فارس إلى الجزيرة على سبيل الإعارة.,2026-08-04 12:55:49.178568+00
039ad146-bca9-4ab7-acbd-ba9fbd4ff469,ar,Season,الموسم,2026-08-04 14:04:28.726816+00
d7bbcedf-2b42-4ebe-a4de-1241cfc0f668,ar,moves,الانتقالات,2026-08-04 14:04:28.726816+00
ee75a31a-4b12-4d36-bbeb-b9d6509c795e,ar,All,الكل,2026-08-04 14:04:28.726816+00
d1449852-7fde-48c8-8b07-8aadbc63b4f2,ar,Players,اللاعبون,2026-08-04 14:04:28.726816+00
9d68c566-7571-44bb-a086-b6cb7e6c8830,ar,Coaches,المدربون,2026-08-04 14:04:28.726816+00
8b409ea9-430e-4fae-a370-f8cdea180aa0,ar,Kuwait SC (69),نادي الكويت (69),2026-08-04 14:04:33.073383+00
6f04d35d-caa6-4913-9faa-d24df7d1265b,ar,Awards,الجوائز,2026-08-04 14:04:33.778636+00
e7f7c0c9-c2b1-4883-8e61-c5cec1f2f5b4,ar,Sport,الرياضة,2026-08-04 14:04:33.778636+00
2cfeb0b1-2666-401f-b8ba-926331f5e007,ar,football,كرة القدم,2026-08-04 14:04:33.778636+00
37b95dfa-b518-457c-8cce-76d70c518393,ar,Format,النظام,2026-08-04 14:04:33.778636+00
db37e372-a5da-42b2-8bfb-811a4428633e,ar,league,دوري,2026-08-04 14:04:33.778636+00
8372d54c-f32a-4ebd-a0a7-f9029c9eb3df,ar,Teams,الفرق,2026-08-04 14:04:33.778636+00
1be182ed-b9e1-4a1f-b434-cbbacb7b7e15,ar,Duration,المدة,2026-08-04 14:04:33.778636+00
4afd39bd-aa1f-4e2c-bcdd-59ed1cca1dbb,ar,Title holder,حامل اللقب,2026-08-04 14:04:33.778636+00
538fb3bb-ceb0-4e14-b353-ca08cc784165,ar,Most titles,الأكثر تتويجًا,2026-08-04 14:04:33.778636+00
434422e7-48b7-4a53-a18e-9a6d55a59de9,ar,Country,البلد,2026-08-04 14:04:33.778636+00
f0cf939d-ae38-43c4-a0e0-88aea65c32f6,ar,Title winners,الفائزون باللقب,2026-08-04 14:04:33.778636+00
b7171b62-8c55-48fa-9778-8914cc90ed25,ar,Mohammed Al Hamad Stadium,استاد محمد الحمد,2026-08-04 14:04:48.210385+00
b22c57b3-56f0-42b7-a9cb-252e26c7f555,ar,Hawalli,حولي,2026-08-04 14:04:55.977871+00
74fb51b8-de96-442d-8a5a-3c5fa6ef1603,ar,Chairman,رئيس مجلس الإدارة,2026-08-04 14:04:55.977871+00
9c6a1a63-9711-4399-9c1d-5632b50b5de8,ar,Coach,المدرب,2026-08-04 14:04:56.073113+00
b47e8157-720d-4912-95eb-59adb023d4e7,ar,No coach,لا يوجد مدرب,2026-08-04 14:04:56.073113+00
b73ccd7f-c380-4bff-92cf-6c5df4a604ab,ar,No goalkeepers,لا يوجد حراس مرمى,2026-08-04 14:04:56.073113+00
e66dc53e-4c15-4901-b742-0e2a31d43ba4,ar,Defender,مدافع,2026-08-04 14:04:56.073113+00
dc76ab7c-d31c-496e-867a-9a0b8caced6c,ar,No defenders,لا يوجد مدافعون,2026-08-04 14:04:56.073113+00
e4a61981-216c-4ada-998a-ce3a6e1a0b42,ar,Midfielder,لاعب وسط,2026-08-04 14:04:56.073113+00
fe40d72c-d55a-460f-81ee-48760a01be94,ar,No midfielders,لا يوجد لاعبو وسط,2026-08-04 14:04:56.073113+00
33b13993-7cf8-4c9d-85ca-647819caf694,ar,No forwards,لا يوجد مهاجمون,2026-08-04 14:04:56.073113+00
ebf52886-4567-4f83-89db-e3a7c2687e4a,ar,Unknown,غير معروف,2026-08-04 14:04:56.073113+00
ef6d74fb-ccc2-4542-bd5e-490526b81262,ar,No unknowns,لا يوجد لاعبون غير معروفين,2026-08-04 14:04:56.073113+00
543b0560-7b9e-400c-9f94-7fdc504bbf6a,ar,Leonardo Sheldon,ليوناردو شيلدون,2026-08-15 02:14:57.088651+00
08906c5e-b86b-4cea-b65a-2dd7e62473f0,ar,Mohammed Khaled,محمد خالد,2026-08-15 02:14:57.088651+00
295bdd72-ef26-4817-819f-0ea9c652f0e5,ar,Jumma Aboud,جمعة عبود,2026-08-15 02:14:57.088651+00
4a2d74dd-84d7-4435-a402-26e8f54dc963,ar,Hamad Al Harbi,حمد الحربي,2026-08-15 02:14:57.088651+00
d38e9470-6c87-4d1b-af23-3723b3043d59,ar,Hamad Al Qallaf,حمد القلاف,2026-08-15 02:14:57.088651+00
5701398c-166a-40dd-870d-96024f4606be,ar,Ali Hasan Muhaisen,علي حسن محيسن,2026-08-15 02:14:57.088651+00
ea06f560-97b3-4b71-aa19-365167ee1d05,ar,"Al Qadsia SC will continue their pre-season preparations with a friendly match against Saudi Arabian second-tier side Al Zulfi during the club’s training camp in Türkiye.

The match is scheduled to take place on 29 July 2026 at 18:00 local time at Yalova Atatürk Stadium in Yalova, Türkiye.

The fixture will serve as another important test for the Kuwaiti side as they build towards the 2026/27 AFC Challenge League campaign. The coaching staff are expected to use the match to assess the squad’s fitness, tactical progress and match sharpness ahead of the club’s continental commitments.

Al Zulfi, who compete in Saudi Arabia’s second division, will provide competitive opposition in what is expected to be a valuable pre-season encounter for both teams. The friendly is part of Al Qadsia’s preparations before the start of the new competitive season.","سيواصل نادي القادسية استعداداته للموسم الجديد بمباراة ودية أمام الزلفي، المنافس في دوري الدرجة الثانية السعودي، خلال المعسكر التدريبي للنادي في تركيا.

ومن المقرر أن تُقام المباراة في 29 يوليو 2026 عند الساعة 18:00 بالتوقيت المحلي على ملعب يالوفا أتاتورك في يالوفا، تركيا.

وستشكّل المباراة اختبارًا مهمًا آخر للفريق الكويتي ضمن استعداداته لخوض منافسات دوري التحدي الآسيوي 2026/27. ومن المتوقع أن يستغل الجهاز الفني المباراة لتقييم جاهزية اللاعبين البدنية، والتطور الخططي، وحساسية المباريات قبل استحقاقات النادي القارية.

وسيشكّل الزلفي، الذي ينافس في دوري الدرجة الثانية السعودي، خصمًا قويًا في مواجهة يُتوقع أن تكون مفيدة للفريقين خلال فترة الإعداد للموسم الجديد. وتأتي المباراة الودية ضمن تحضيرات القادسية قبل انطلاق الموسم التنافسي الجديد.",2026-08-04 14:05:17.199618+00
5a28bdeb-9007-4637-8778-86fbf22e6e2a,ar,"Teams, players, competitions, coaches, stadiums…",الفرق، اللاعبون، المسابقات، المدربون، الملاعب…,2026-08-04 14:23:21.918954+00
68c8b8a3-6959-4d94-bffc-c1a539bb72a4,ar,Competitions,المسابقات,2026-08-04 14:23:21.918954+00
3a969e6c-0c68-49c5-bb21-cd84c2eace91,ar,Stadiums,الملاعب,2026-08-04 14:23:21.918954+00
591f7c91-3ff3-4393-b80c-253716d62774,ar,Type to search,اكتب للبحث,2026-08-04 14:23:21.918954+00
d6536d76-5d43-4e25-b41c-74dd0d4e7750,ar,Recent searches,عمليات البحث الأخيرة,2026-08-04 14:23:25.907132+00
9ed1ce13-2781-436d-b32e-f1472b39c398,ar,Clear all,مسح الكل,2026-08-04 14:23:25.907132+00
66d8d606-b098-41c5-b2a5-bd147225c67f,ar,"According to sources, Al Arabi have loaned Abdullah Fares to Al Jazira.

No further details about the loan agreement have been provided.","وفقًا لمصادر، أعار العربي اللاعب عبد الله فارس إلى الجزيرة.

ولم تُكشف أي تفاصيل إضافية بشأن اتفاق الإعارة.",2026-08-04 14:57:22.629558+00
1d941ede-33ec-4770-94fa-9aa54c8eef16,ar,AFC Champions League TWO,دوري أبطال آسيا الثاني,2026-08-04 14:58:21.838586+00
f39e939b-d7f8-4b42-9f06-f9f335f39744,ar,AFC Champions League TWO Qualification,تصفيات دوري أبطال آسيا الثاني,2026-08-04 14:58:21.838586+00
0ac3b3c0-6fa1-4f84-8582-2eb23329c5b0,ar,Relegation,الهبوط,2026-08-04 14:58:21.838586+00
b555ed98-e6f2-4cce-ac00-4a1423f53028,ar,Kuwait Sports Club Stadium,استاد نادي الكويت الرياضي,2026-08-04 15:06:29.21633+00
a1288495-35ab-4884-a5b1-2c5a16696f10,ar,Publish news,نشر الأخبار,2026-08-07 15:18:51.25473+00
7fb049cb-1a96-47ea-97c3-8725a9e933a1,ar,"Join the reporter programme — $2.99 / month, every article reviewed by the main admin.",انضم إلى برنامج المراسلين — 2.99 دولار شهريًا، مع مراجعة كل مقال من قِبل المسؤول الرئيسي.,2026-08-07 15:18:51.25473+00
966f1546-9a59-418e-b90b-a910f5b450bd,ar,Recently viewed,شوهدت مؤخراً,2026-08-10 00:48:45.079055+00
00405454-7d70-43d7-8acb-e89e7a6dce16,ar,Zain Premier League,الدوري الممتاز زين,2026-08-10 00:48:45.079055+00
3143360c-3e9a-44a8-939c-1af5cfb8be42,ar,"The top-tier professional football league in Kuwait, featuring 12 clubs competing for the national championship and qualification to AFC competitions. Sponsor of the competition is Zain",دوري كرة القدم للمحترفين في الدرجة الممتازة بالكويت، ويضم 12 ناديًا تتنافس على لقب الدوري الوطني والتأهل إلى مسابقات الاتحاد الآسيوي لكرة القدم. الراعي الرسمي للمسابقة هو زين,2026-08-10 00:48:48.224367+00
2906edd8-4e00-4d9e-a576-661f8d31d0e8,ar,KD ٧١k,٧١ ألف د.ك,2026-08-10 00:49:01.584005+00
560f7ae7-4fbe-4b02-ab33-152f5db204c8,ar,Transfer history,سجل الانتقالات,2026-08-10 00:49:01.584005+00
04b46fb8-7cf8-43f6-990f-1082e921e06b,ar,Alexandre Santos,ألكسندر سانتوس,2026-08-10 00:49:03.665123+00
1b99172b-b54a-4289-8106-0467c8ab8195,ar,Portugal,البرتغال,2026-08-10 00:49:03.665123+00
4dc150e1-3b68-46af-8e60-62254f61ddbd,ar,Khaled Al Rashidi,خالد الرشيدي,2026-08-10 00:49:03.665123+00
a9f770ae-fe49-4b23-9a83-38d049ed928b,ar,Saud Al Hoshan,سعود الحوشان,2026-08-10 00:49:03.665123+00
e396bec0-eabd-4211-9faa-13fabcc9bc3f,ar,Abdulrahman Kameel,عبدالرحمن كميل,2026-08-10 00:49:03.665123+00
0afa917f-de3c-41e9-9512-82836ee13e1a,ar,Sami Al Sanea,سامي الصانع,2026-08-10 00:49:03.665123+00
f8da4bcc-947e-4329-ba70-92ea4de3266a,ar,Meshari Ghanam,مشاري غنام,2026-08-10 00:49:03.665123+00
12cd432c-0f6e-4666-8aed-d8d06f681943,ar,Mohsen Falah,محسن فلاح,2026-08-10 00:49:03.665123+00
4050c90c-5894-4296-a7ab-d4495e3e7134,ar,Fahad Hamoud,فهد حمود,2026-08-10 00:49:03.665123+00
28ed23f3-94ba-4018-b266-16c7d8246913,ar,Mohammad Freih,محمد فريح,2026-08-10 00:49:03.665123+00
cb70fc1a-3ce6-4912-bbfb-deb445bb86e5,ar,Malik Zola,مالك زولا,2026-08-10 00:49:03.665123+00
0fef3a38-4b18-46fc-9be1-e5b9dc26460f,ar,Hassan Hamdan,حسن حمدان,2026-08-10 00:49:03.665123+00
a6b2e97b-5cb1-4cfa-ba81-b99e3a9a2165,ar,Reda Hani,رضا هاني,2026-08-10 00:49:03.665123+00
8849f9d3-d5a1-4107-beb2-d3ce484f2cd0,ar,Ahmad Al Dhefiri,أحمد الظفيري,2026-08-10 00:49:03.665123+00
71d3e934-1da9-4d2e-beee-c1eb7b13e4ac,ar,Faisal Zaid,فيصل زايد,2026-08-10 00:49:03.665123+00
1f41fc29-5e37-4493-bb57-17eddb26cacf,ar,Carlinhos Vinicius,كارلينيوس فينيسيوس,2026-08-10 00:49:03.665123+00
8485a3b7-8e64-44ae-90d5-7f62092defd1,ar,Ali Hussain,علي حسين,2026-08-10 00:49:03.665123+00
a4c85666-e2cf-4bc9-ac75-2aa6d395d7ec,ar,Mohammed Marhoon,محمد مرهون,2026-08-10 00:49:03.665123+00
399f5fea-ee8b-4a99-943e-12fa83c21d86,ar,Al Mahdi Barrahma,المهدي برحمة,2026-08-10 00:49:03.665123+00
3e47305f-8654-4196-9e83-634481110e9f,ar,Humoud Al Sanousi,حمود السنوسي,2026-08-10 00:49:03.665123+00
6b448cc8-cd96-4684-83cf-00d97e0b449d,ar,Abdullah Al Qarzaei,عبدالله القرزعي,2026-08-10 00:49:03.665123+00
dd9b57f7-a0d1-48a3-84d0-84f4df639757,ar,Ibrahim Kameel,إبراهيم كميل,2026-08-10 00:49:03.665123+00
d795965b-d9b6-4bcc-8216-03da3d6c2270,ar,Amr Abdulfattah (Amoory),عمرو عبدالفتاح (عموري),2026-08-10 00:49:03.665123+00
3fe1e6fb-ebb4-4b39-9deb-e30e9aadc950,ar,Mohammad Daham,محمد دحام,2026-08-10 00:49:03.665123+00
6f060b0e-3594-4222-8cc9-3ec144eeb32d,ar,Yousef Nasser,يوسف ناصر,2026-08-10 00:49:03.665123+00
88d0ee86-7728-4c3b-985c-72a8289f607a,ar,Yassine Khenissi,ياسين الخنيسي,2026-08-10 00:49:03.665123+00
22f50f1b-7133-4bce-8d02-fd6f133d18eb,ar,Muhanned Al Mahamid,مهند المحاميد,2026-08-10 00:49:03.665123+00
59df72b4-6659-4089-bf97-e7704ed3ffc2,ar,Salman Al Awadhi,سلمان العوضي,2026-08-10 00:49:03.665123+00
f3863205-443f-4879-a7a5-f93bccfbbab7,ar,Faris Ali Fadhel,فارس علي فاضل,2026-08-10 00:49:03.665123+00
23063852-aecc-46a3-b872-17da54bc758b,ar,Sources: Two New Private Clubs Set to Join Kuwaiti First Division,مصادر: ناديان خاصان جديدان يستعدان للانضمام إلى دوري الدرجة الأولى الكويتي,2026-08-10 00:49:46.420273+00
ccfd282c-f0c1-4f7a-8bb8-0ca8381f90a6,ar,"Go FC and Al Itihad FC are expected to join the Kuwaiti First Division, according to sources.",من المتوقع أن ينضم ناديا غو إف سي والاتحاد إف سي إلى دوري الدرجة الأولى الكويتي، وفقًا لمصادر.,2026-08-10 00:49:46.420273+00
8ecec367-6679-4f15-94e8-722e77a56e4f,ar,Abdulaziz Nasari,عبد العزيز نصاري,2026-08-15 02:14:57.088651+00
2fcc07f4-4048-45f4-8a3f-0f36cb4ec47e,ar,"Two clubs set to join

Two new private clubs are set to join the Kuwaiti First Division, according to sources.

The clubs are Go FC, owned by Ali Alhamad, and Al Itihad FC.

 Sponsors and youth programme

Al Itihad FC has announced Boom Al Khaleej and Najd as its sponsors. The club has also started a youth programme.","ناديان يستعدان للانضمام

يستعد ناديان خاصان جديدان للانضمام إلى دوري الدرجة الأولى الكويتي، وفقًا لمصادر.

والناديان هما غو إف سي، المملوك لعلي الحمد، والاتحاد إف سي.

 الرعاة وبرنامج الناشئين

أعلن الاتحاد إف سي أن بوم الخليج ونجد هما راعياه. كما أطلق النادي برنامجًا للناشئين.",2026-08-10 00:49:52.127929+00
c66a08f8-4437-47f8-a821-80848f1d32a9,ar,Friendly Matches,مباريات ودية,2026-08-11 22:36:42.211285+00
65e8b81c-3692-47c5-82b1-ccaf5d24baf3,ar,Zain First Division,دوري زين للدرجة الأولى,2026-08-11 22:36:42.211285+00
15bcee92-5083-44c3-b3c0-c3084b3d70fd,ar,No favorite matches yet,لا توجد مباريات مفضلة بعد,2026-08-12 00:37:21.669368+00
aa42da78-5b09-4d18-9cf2-981a7036c9fb,ar,Open favorites,فتح المفضلة,2026-08-12 00:37:26.82863+00
90789f4d-eebc-440c-8bc0-38d69c20fe22,ar,Featured match,المباراة البارزة,2026-08-15 02:11:10.312769+00
ee268592-8d66-4c79-80c6-9ceeaaed71b2,ar,No messages yet.,لا توجد رسائل بعد.,2026-08-15 02:11:16.743339+00
86508b92-0169-4104-aa0f-94bcf3360817,ar,No channel yet.,لا توجد قناة بعد.,2026-08-15 02:11:16.797129+00
913ecfe6-124c-4514-81ca-075b7848ec5f,ar,Scheduled,مقررة,2026-08-15 02:11:17.360883+00
de116fbe-60c3-4a6d-99de-bd0b079bdfdc,ar,Match information,معلومات المباراة,2026-08-15 02:11:17.360883+00
ceb6fe40-eda0-4a9a-ab87-99ef683cd557,ar,Date & time,التاريخ والوقت,2026-08-15 02:11:17.360883+00
070d8093-1f78-4f08-881e-86b2c8e6cf32,ar,Draw,تعادل,2026-08-15 02:11:17.360883+00
5a05e47b-367e-41a2-a186-efe417853e8a,ar,Away,الفريق الضيف,2026-08-15 02:11:17.360883+00
f326e36e-ce6d-45cb-85bf-43a990947259,ar,Who will win?,من سيفوز؟,2026-08-15 02:11:17.360883+00
6be5fa8e-a735-4f8e-bb76-b13e4a5af50c,ar,votes,أصوات,2026-08-15 02:11:17.360883+00
c11f822e-fde2-4798-bbb1-df67f7f0af46,ar,Sign in,سجّل الدخول,2026-08-15 02:11:17.360883+00
50a45bd9-e48b-476e-b532-3371053f6e07,ar,to add your prediction.,لإضافة توقعك.,2026-08-15 02:11:17.360883+00
83f6ffce-9f25-4533-825f-91447852e891,ar,Match chat,دردشة المباراة,2026-08-15 02:11:17.360883+00
